Company,Rocket,count
RVSN USSR,Cosmos-3M (11K65M),368
RVSN USSR,Voskhod,283
RVSN USSR,Cosmos-2I (63SM),118
RVSN USSR,Soyuz U,114
SpaceX,Falcon 9 Block 5,111
RVSN USSR,Molniya-M /Block ML,100
RVSN USSR,Tsyklon-3,93
RVSN USSR,Tsyklon-2,91
RVSN USSR,Vostok-2M,89
Arianespace,Ariane 5 ECA,78
RVSN USSR,Molniya-M /Block 2BL,66
Boeing,Delta II 7925,54
VKS RF,Cosmos-3M (11K65M),51
CASC,Long March 2C,43
CASC,Long March 2D,43
General Dynamics,Atlas-SLV3 Agena-D,41
RVSN USSR,Molniya-M /Block L,41
Arianespace,Ariane 44L,40
NASA,Space Shuttle Discovery,39
CASC,Long March 3B/E,39
RVSN USSR,Vostok-2,38
ULA,Atlas V 401,35
Sea Launch,Zenit-3 SL,33
NASA,Space Shuttle Atlantis,33
MHI,H-IIA 202,30
US Air Force,Thor DM-21 Agena-B,29
RVSN USSR,Soyuz,29
CASC,Long March 4B,29
NASA,Space Shuttle Columbia,27
CASC,Long March 4C,27
Northrop,Pegasus XL,27
RVSN USSR,Cosmos-2I (63S1),26
NASA,Space Shuttle Endeavour,25
SpaceX,Falcon 9 Block 3,24
Arianespace,Ariane 44LP,24
General Dynamics,Atlas-SLV3D Centaur-D1AR,24
ISRO,PSLV-XL,23
Rocket Lab,Electron/Curie,22
VKS RF,Molniya-M /Block ML,22
Roscosmos,Soyuz 2.1a,22
RVSN USSR,Molniya,22
Martin Marietta,Titan IIID,22
Blue Origin,New Shepard,21
US Air Force,Titan III(24)B,21
Kosmotras,Dnepr,21
ILS,Atlas IIAS,21
US Air Force,Titan IIIB,20
VKS RF,Tsyklon-3,20
RVSN USSR,Cosmos-3MRB (65MRB),19
Martin Marietta,Titan III(23)C,19
VKS RF,Zenit-2,18
General Dynamics,Atlas-LV3 Agena-B,18
VKS RF,Molniya-M /Block 2BL,18
General Dynamics,Atlas-E/F Star-37S-ISS,18
Boeing,Delta II 7920-10C,18
Arianespace,Vega,17
RVSN USSR,Vostok,16
RVSN USSR,Proton K/Block D,16
CASC,Long March 3A,16
Roscosmos,Soyuz FG,16
VKS RF,Rokot/Briz KM,16
RVSN USSR,Tsyklon,15
Lockheed,Atlas IIA,15
Arianespace,Soyuz ST-B/Fregat-MT,15
ISRO,PSLV-CA,15
Arianespace,Ariane 44P,15
SpaceX,Falcon 9 v1.1,14
General Dynamics,Atlas-SLV3C Centaur-D,14
General Dynamics,Atlas-LV3 Agena-D,14
Arianespace,Ariane 42P,14
VKS RF,Tsyklon-2,13
Boeing,Delta II 6925,13
SpaceX,Falcon 9 Block 4,12
NASA,Saturn V,12
