,Company,Location,Date,Rocket,Country
0,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1957-10-04,Sputnik 8K71PS, Kazakhstan
1,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1957-11-03,Sputnik 8K71PS, Kazakhstan
2,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1957-12-06,Vanguard, USA
3,AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA",1958-02-01,Juno I, USA
4,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1958-02-05,Vanguard, USA
5,AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA",1958-03-05,Juno I, USA
6,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1958-03-17,Vanguard, USA
7,AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",1958-03-26,Juno I, USA
8,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1958-04-27,Sputnik 8A91, Kazakhstan
9,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1958-04-28,Vanguard, USA
10,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1958-05-15,Sputnik 8A91, Kazakhstan
11,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1958-05-28,Vanguard, USA
12,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1958-06-26,Vanguard, USA
13,US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",1958-07-25,NOTS-EV-1 Pilot II, USA
14,AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",1958-07-26,Juno I, USA
15,US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",1958-08-12,NOTS-EV-1 Pilot II, USA
16,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1958-08-17,Thor-DM 18 Able I, USA
17,US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",1958-08-22,NOTS-EV-1 Pilot II, USA
18,AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",1958-08-24,Juno I, USA
19,US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",1958-08-25,NOTS-EV-1 Pilot II, USA
20,US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",1958-08-26,NOTS-EV-1 Pilot II, USA
21,US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",1958-08-29,NOTS-EV-1 Pilot II, USA
22,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1958-09-23,Vostok, Kazakhstan
23,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1958-09-26,Vanguard, USA
24,NASA,"SLC-17A, Cape Canaveral AFS, Florida, USA",1958-10-11,Thor-DM 18 Able I, USA
25,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1958-10-11,Vostok, Kazakhstan
26,AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",1958-10-23,Juno I, USA
27,NASA,"SLC-17A, Cape Canaveral AFS, Florida, USA",1958-11-08,Thor-DM 18 Able I, USA
28,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1958-12-04,Vostok, Kazakhstan
29,AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",1958-12-06,Juno II, USA
30,US Air Force,"LC-11, Cape Canaveral AFS, Florida, USA",1958-12-18,SM-65B Atlas, USA
31,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1959-01-02,Vostok, Kazakhstan
32,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1959-02-17,Vanguard, USA
33,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1959-02-28,Thor-DM18 Agena-A, USA
34,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1959-04-13,Thor-DM18 Agena-A, USA
35,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1959-04-14,Vanguard, USA
36,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1959-06-03,Thor-DM18 Agena-A, USA
37,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1959-06-18,Vostok, Kazakhstan
38,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1959-06-22,Vanguard, USA
39,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1959-06-25,Thor-DM18 Agena-A, USA
40,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1959-08-07,Thor DM-18 Able-III, USA
41,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1959-08-13,Thor-DM18 Agena-A, USA
42,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1959-08-19,Thor-DM18 Agena-A, USA
43,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1959-09-09,Atlas-D Mercury, USA
44,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1959-09-12,Vostok, Kazakhstan
45,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1959-09-17,Thor DM-18 Able-II, USA
46,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1959-09-18,Vanguard, USA
47,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1959-10-04,Vostok, Kazakhstan
48,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1959-11-07,Thor-DM18 Agena-A, USA
49,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1959-11-20,Thor-DM18 Agena-A, USA
50,General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",1959-11-26,Atlas-D Able, USA
51,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1960-02-04,Thor-DM18 Agena-A, USA
52,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1960-02-19,Thor-DM18 Agena-A, USA
53,General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",1960-02-26,Atlas-LV3 Agena-A, USA
54,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1960-03-11,Thor DM-18 Able-IV, USA
55,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1960-04-01,Thor DM-18 Able-II, USA
56,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1960-04-13,Thor-DM21 Ablestar, USA
57,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-04-15,Vostok, Kazakhstan
58,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1960-04-15,Thor-DM18 Agena-A, USA
59,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-04-16,Vostok, Kazakhstan
60,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1960-05-13,Thor DM-19 Delta, USA
61,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-05-15,Vostok, Kazakhstan
62,General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",1960-05-24,Atlas-LV3 Agena-A, USA
63,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1960-06-22,Thor-DM21 Ablestar, USA
64,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1960-06-29,Thor-DM18 Agena-A, USA
65,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-07-28,Vostok, Kazakhstan
66,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1960-07-29,Atlas-D Mercury, USA
67,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1960-08-10,Thor-DM18 Agena-A, USA
68,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1960-08-12,Thor DM-19 Delta, USA
69,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1960-08-18,Thor-DM18 Agena-A, USA
70,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1960-08-18,Thor-DM21 Ablestar, USA
71,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-08-19,Vostok, Kazakhstan
72,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1960-09-13,Thor-DM18 Agena-A, USA
73,General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",1960-09-25,Atlas-D Able, USA
74,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1960-10-04,Thor-DM21 Ablestar, USA
75,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-10-10,Molniya, Kazakhstan
76,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1960-10-11,Atlas-LV3 Agena-A, USA
77,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-10-14,Molniya, Kazakhstan
78,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1960-10-26,Thor DM-21 Agena-B, USA
79,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1960-11-12,Thor DM-21 Agena-B, USA
80,NASA,"LC-5, Cape Canaveral AFS, Florida, USA",1960-11-21,Mercury-Redstone, USA
81,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1960-11-23,Thor DM-19 Delta, USA
82,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1960-11-30,Thor-DM21 Ablestar, USA
83,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-12-01,Vostok, Kazakhstan
84,NASA,"LA-3, Wallops Flight Facility, Virginia, USA",1960-12-04,Scout X-1, USA
85,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1960-12-07,Thor DM-21 Agena-B, USA
86,General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",1960-12-15,Atlas-D Able, USA
87,NASA,"LC-5, Cape Canaveral AFS, Florida, USA",1960-12-19,Mercury-Redstone, USA
88,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1960-12-20,Thor DM-21 Agena-B, USA
89,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-12-22,Vostok, Kazakhstan
90,NASA,"LC-5, Cape Canaveral AFS, Florida, USA",1961-01-31,Mercury-Redstone, USA
91,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1961-01-31,Atlas-LV3 Agena-A, USA
92,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1961-02-04,Molniya, Kazakhstan
93,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1961-02-12,Molniya, Kazakhstan
94,NASA,"LA-3, Wallops Flight Facility, Virginia, USA",1961-02-16,Scout X-1, USA
95,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1961-02-17,Thor DM-21 Agena-B, USA
96,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1961-02-18,Thor DM-21 Agena-B, USA
97,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1961-02-21,Atlas-D Mercury, USA
98,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1961-02-22,Thor-DM21 Ablestar, USA
99,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1961-03-09,Vostok, Kazakhstan
100,NASA,"LC-5, Cape Canaveral AFS, Florida, USA",1961-03-24,Mercury-Redstone, USA
101,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1961-03-25,Vostok, Kazakhstan
102,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1961-03-25,Thor DM-19 Delta, USA
103,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1961-03-30,Thor DM-21 Agena-B, USA
104,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1961-04-08,Thor DM-21 Agena-B, USA
105,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1961-04-12,Vostok, Kazakhstan
106,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1961-04-25,Atlas-D Mercury, USA
107,NASA,"LC-5, Cape Canaveral AFS, Florida, USA",1961-05-05,Mercury-Redstone, USA
108,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1961-06-08,Thor DM-21 Agena-B, USA
109,US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",1961-06-16,Thor DM-21 Agena-B, USA
110,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1961-06-29,Thor-DM21 Ablestar, USA
111,NASA,"LA-3, Wallops Flight Facility, Virginia, USA",1961-06-30,Scout X-1, USA
112,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1961-07-07,Thor DM-21 Agena-B, USA
113,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1961-07-12,Thor DM-19 Delta, USA
114,General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",1961-07-12,Atlas-LV3 Agena-B, USA
115,NASA,"LC-5, Cape Canaveral AFS, Florida, USA",1961-07-21,Mercury-Redstone, USA
116,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1961-07-21,Thor DM-21 Agena-B, USA
117,US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",1961-08-04,Thor DM-21 Agena-B, USA
118,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1961-08-06,Vostok, Kazakhstan
119,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1961-08-16,Thor DM-19 Delta, USA
120,General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",1961-08-23,Atlas-LV3 Agena-B, USA
121,NASA,"LA-3, Wallops Flight Facility, Virginia, USA",1961-08-25,Scout X-1, USA
122,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1961-08-30,Thor DM-21 Agena-B, USA
123,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1961-09-09,Atlas-LV3 Agena-B, USA
124,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1961-09-12,Thor DM-21 Agena-B, USA
125,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1961-09-13,Atlas-D Mercury, USA
126,US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",1961-09-17,Thor DM-21 Agena-B, USA
127,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1961-10-13,Thor DM-21 Agena-B, USA
128,General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",1961-10-21,Atlas-LV3 Agena-B, USA
129,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1961-10-23,Thor DM-21 Agena-B, USA
130,RVSN USSR,"Mayak-2, Kapustin Yar, Russia",1961-10-27,Cosmos-2I (63S1), Russia
131,NASA,"LC-18B, Cape Canaveral AFS, Florida, USA",1961-11-01,Blue Scout II, USA
132,US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",1961-11-05,Thor DM-21 Agena-B, USA
133,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1961-11-15,Thor DM-21 Agena-B, USA
134,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1961-11-15,Thor-DM21 Ablestar, USA
135,General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",1961-11-18,Atlas-LV3 Agena-B, USA
136,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1961-11-22,Atlas-LV3 Agena-B, USA
137,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1961-11-29,Atlas-D Mercury, USA
138,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1961-12-11,Vostok, Kazakhstan
139,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1961-12-12,Thor DM-21 Agena-B, USA
140,RVSN USSR,"Mayak-2, Kapustin Yar, Russia",1961-12-21,Cosmos-2I (63S1), Russia
141,General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",1961-12-22,Atlas-LV3 Agena-B, USA
142,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1962-01-13,Thor DM-21 Agena-B, USA
143,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1962-01-24,Thor-DM21 Ablestar, USA
144,General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",1962-01-26,Atlas-LV3 Agena-B, USA
